word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
bring sb to his bearings,,,使某人判明方位;使清醒,,,,,0,0,,,
bring sb to his milk,,,"使某人清醒过来,使某人认清自己责任的重大",,,,,0,0,,,
bring sb to his senses,,,使某人觉醒过来,,,,,0,0,,,
bring sb to justice,,,"把某人送交法院审判, 把某人缉拿归案/绳之以法",,,,,0,0,,,
bring sb to reason,,,"说服某人变得明智些, 使某人讲道理",,,,,0,0,,,
bring sb to ruin,,,"使某人破产, 使某人丧失地位",,,,,0,0,,,
bring sb to task,,,"责备某人, 责骂某人, 申斥某人",,,,,0,0,,,
bring sb to terms,,,"迫使某人同意/接受条件, 迫使某人屈服",,,,,0,0,,,
bring sb to the verge of,,,把…带到…的边缘,,,,,0,0,,,
bring sb to trail,,,"使某人受审,审问某人",,,,,0,0,,,
bring sb to trial,,,审问某人,,,,,0,0,,,
bring sb up for trial,,,审问某人,,,,,0,0,,,
bring sb up short,,,使某人突然停住,,,,,0,0,,,
bring sb. back to earth,,,使某人回到现实,,,,,0,0,,,
bring sb. back to reality,,,使某人回到现实,,,,,0,0,,,
bring sb. before the court,,,[法] 提审某人,,,,,0,0,,,
bring sb. in guitly,,,[法] 宣判某人有罪,,,,,0,0,,,
bring sb. to book,,,"[法] 要求某人解释自己的行为, 谴责某人",,,,,0,0,,,
bring sb. to justice,,,把某人送交法院,,,,,0,0,,,
bring sb. to justicee,,,"[法] 将某人捉拿归案, 将某人绳之以法",,,,,0,0,,,
bring sb. to light,,,[法] 揭发某人,,,,,0,0,,,
bring sb. to terms,,,迫使某人屈服,,,,,0,0,,,
bring sb. triall,,,[法] 讯问某人,,,,,0,0,,,
bring shame on,,,"给…带来耻辱,使蒙受耻辱",,,,,0,0,,,
bring shame on oneself,,,给自己带来耻辱,,,,,0,0,,,
bring someone up to date,,,将最新信息告诉某人,,,,,0,0,,,
bring something up to date,,,"跟得上最新发展, 将最新资料加进去",,,,,0,0,,,
bring sth about,,,"带来..., 造成..., 招致..., 引起...",,,,,0,0,,,
bring sth back to normality,,,使某事恢复正常,,,,,0,0,,,
bring sth forward,,,"提出(建议), 把...提前, 使涌现出, 显示",,,,,0,0,,,
bring sth home,,,使深刻认识到某事,,,,,0,0,,,
bring sth into a satisfactory settlement,,,使某事得以圆满解决,,,,,0,0,,,
